artist,name,url
New Age Hillbilly,Weekend Warrior,https://www.youtube.com/watch?v=ZQi7MobiDV8
Immortal Lee County Killers,Cool Driver,ERROR!
Ada Jones,Keep Away From the Fellow Who Owns an Automobile,ERROR!
Harlan,Untitled 2,https://www.youtube.com/watch?v=BbTSKh_ANPU
New Waver,Tea Break,https://www.youtube.com/watch?v=92b3xmVxUkM
Kai,Time Being,ERROR!
Night Gallery,Death Spell,https://www.youtube.com/watch?v=I6F3BlpFbic
Menhirs of Er Grah,My Orchard Fire,ERROR!
The Years,Long Term Jammers,ERROR!
Arastoo,Moisture On Rust,ERROR!
Sally Hamlin,Our Hired Girl,https://www.youtube.com/watch?v=IjwhNpbKdoQ
Dr Clarence Penny,Azalea Waltz,https://www.youtube.com/watch?v=SJV6Sq9FVUA
pit malone feat. beekeeper c,quicksand,ERROR!
TSIGOTI,(Can) Don't Sleep Through This,ERROR!
Sputnik Booster,Oi! the Posers (Remix by Computer Truck),ERROR!
Zlatne Uste Balkan Brass Band,Niski Cocek,ERROR!
Disen Gage,Kategerin,ERROR!
Felipe Sarro,"Alkan, 2me Suite, Op 31, 10 Dans le style fugue, Tres vite",ERROR!
Manueljgrotesque,grotesque10,https://www.youtube.com/results?search_query=Manueljgrotesque+-+grotesque10&sp=QgIIAQ%253D%253D
Arrogalla remixes Roots Ista Posse,Dubtical mutetu,ERROR!
Ctephin,Tardis Dream (Tribute To Dr.Who),https://www.youtube.com/results?search_query=Ctephin+-+Tardis+Dream+%28Tribute+To+Dr.Who%29&sp=QgIIAQ%253D%253D
Learning Music,Countoff,ERROR!
Nonima,Interlude,https://www.youtube.com/watch?v=CwLR3_G_FbM
The Girls At Dawn,When She Goes Away,ERROR!
Noah Coward,Noah Coward,ERROR!
Oblivian Substanshall,Upside Down,https://www.youtube.com/results?search_query=Oblivian+Substanshall+-+Upside+Down&sp=QgIIAQ%253D%253D
Tidy Kid,Smell,https://www.youtube.com/watch?v=WgKQsIa18DE
Happy Elf,Juno Six Sex,https://www.youtube.com/watch?v=N4TTAxX-cgw
Waylon Thornton and the Heavy Hands,Fell In A Tomb,ERROR!
Jimmy Cousins,Coo Coo Brain,ERROR!
Jeselsohn & Nuñez,Interaccion iii,ERROR!
Shape2,She Says,https://www.youtube.com/watch?v=tWG976BJaZY
The Whines,Cut Meat,https://www.youtube.com/watch?v=qUHUsUsd5pw
Flint Hayerr,Vibration,https://www.youtube.com/watch?v=RiLWAH3n_Lo
4mat,Tundra,https://www.youtube.com/watch?v=7_SmZDP-nPo
Bruce Miller,sirangi improv,ERROR!
((( vlubä ))),1-3 mm (Excerpt),ERROR!
Sexteto Tabalá de Palenque,Agua,https://www.youtube.com/watch?v=-xbHFN8vEU0
Chuck Bettis,Technological Crutch,ERROR!
Stuart Chalmers,Stuart Chalmers Hymn 2,ERROR!
The Superfools,Call Me Or I Will Die,ERROR!
johnny_ripper,on the moon,ERROR!
Tchakare Kanyembe,Tchakare Kanyembe track 07,ERROR!
Gosprom,Nevesta (Flayve Remix),https://www.youtube.com/watch?v=IjQGpWhodoo
King Felix,Out on the Open Road,ERROR!
Salakapakka Sound System,Field recording from Thailand,https://www.youtube.com/watch?v=KrsDCjmepB4
Shisd,Pale Ghost,https://www.youtube.com/watch?v=iC3MH7Luqg4
Chilton Taylor Thompson,A Possible End For A Dream,ERROR!
Oliver Lake with the Creative Arts Orchestra,Oliver Lake with CAO,ERROR!
Quest Poetics,Tonight,https://www.youtube.com/watch?v=H7S-w0XaA3s
un automne à Lob-Nor,Untitled 05,ERROR!
Algesis,Stratification,ERROR!
Dungeon Broads,Nothing To Say,ERROR!
The Custodian of Records,Infamous Interlude,ERROR!
Black Sea Hotel,Trendafilcheto,ERROR!
Podington Bear,Alien Language,https://www.youtube.com/watch?v=dqrdsUl2OBA
No Monster Club,Boyhood Deed #11 (Blippity Bloop),ERROR!
TRema,OscS,ERROR!
