,artist.name,artist.similar,artist.terms,song.title
0,Casual,0.0,hip hop,0
1,The Box Tops,0.0,blue-eyed soul,0
2,Sonora Santanera,0.0,salsa,0
3,Adam Ant,0.0,pop rock,0
4,Gob,0.0,pop punk,0
5,Jeff And Sheri Easter,0.0,southern gospel,0
6,Rated R,0.0,breakbeat,0
7,Tweeterfriendly Music,0.0,post-hardcore,0
8,Planet P Project,0.0,new wave,0
9,Clp,0.0,breakcore,0
10,JennyAnyKind,0.0,alternative rock,0
11,Wayne Watson,0.0,ccm,0
12,Andy Andy,0.0,bachata,0
13,Bob Azzam,0.0,chanson,0
14,Lionel Richie,0.0,quiet storm,0
15,Blue Rodeo,0.0,country rock,0
16,Richard Souther,0.0,chill-out,0
17,Faiz Ali Faiz,0.0,qawwali,0
18,Tesla,0.0,hard rock,0
19,lextrical,0.0,indietronica,0
20,Jimmy Wakely,0.0,classic country,0
21,Alice Stuart,0.0,electric blues,0
22,Elena,0.0,uk garage,0
23,The Dillinger Escape Plan,0.0,math-core,0
24,SUE THOMPSON,0.0,pop rock,0
25,Five Bolt Main,0.0,post-grunge,0
26,Clp,0.0,breakcore,0
27,Tim Wilson,0.0,filk,0
28,Willie Bobo,0.0,latin jazz,0
29,Faye Adams,0.0,jump blues,0
30,Terry Callier,0.0,soul jazz,0
31,John Wesley,0.0,disco,0
32,The Shangri-Las,0.0,doo-wop,0
33,Billie Jo Spears,0.0,classic country,0
34,Mike Jones (Featuring CJ_ Mello & Lil' Bran),0.0,rap,0
35,Sierra Maestra,0.0,charanga,0
36,Butthole Surfers,0.0,noise rock,0
37,Despina Vandi,0.0,dance pop,0
38,Javier Navarrete,0.0,orchestra,0
39,Jacob Young,0.0,cool jazz,0
40,Scarlet's Remains,0.0,gothic metal,0
41,The Suicide Machines,0.0,ska punk,0
42,The Rolling Stones,0.0,blues,0
43,Roberto Torres,0.0,salsa,0
44,Loudon Wainwright III,0.0,modern rock,0
45,R.L. Burnside,0.0,delta blues,0
46,Stevie Ray Vaughan,0.0,texas blues,0
47,John Hammond,0.0,blues,0
48,Casiotone For The Painfully Alone,0.0,trip hop,0
49,Ec8or,0.0,hardcore techno,0
50,The New York Dolls,0.0,glam rock,0
51,Eliane Elias,0.0,brazilian jazz,0
52,Lost Boyz,0.0,gangster rap,0
53,The Germs,0.0,rock,0
54,Yamandu Costa,0.0,brazilian jazz,0
55,Chris Rea,0.0,soft rock,0
56,Perrey And Kingsley,0.0,easy listening,0
57,Eurythmics,0.0,dance rock,0
58,Francis Dunnery,0.0,singer-songwriter,0
59,John Cale,0.0,experimental rock,0
60,Suzanne Ciani,0.0,meditation,0
61,Vickie Winans,0.0,ccm,0
62,The Berzerker,0.0,speedcore,0
63,Kings Of Leon,0.0,southern rock,0
64,Edith Lefel,0.0,zouk,0
65,Taras,0.0,trance,0
66,NOFX,0.0,punk,0
67,Murskahumppa,0.0,suomi rock,0
68,Soda Stereo,0.0,rock,0
69,Bruce Rowland,0.0,easy listening,0
70,Xcultures,0.0,gabba,0
71,White Heart,0.0,ccm,0
72,Heavy D / McGruff,0.0,pop rap,0
73,Van Halen,0.0,heavy metal,0
74,Black Eyed Peas,0.0,hip hop,0
75,Nine Inch Nails,0.0,industrial metal,0
76,Nick Cave & The Bad Seeds,0.0,rock,0
77,Nadine Renee,0.0,freestyle,0
78,Lesley Gore,0.0,brill building pop,0
79,Smartbomb,0.0,melodic hardcore,0
80,Suburbs,0.0,british pop,0
81,Emperor,0.0,heavy metal,0
82,Julien Clerc,0.0,chanson,0
83,Glen Campbell,0.0,country rock,0
84,T.G. Sheppard,0.0,country rock,0
85,Slim Whitman,0.0,folk-pop,0
86,Savage Garden,0.0,easy listening,0
87,Queens Of The Stone Age,0.0,stoner metal,0
